Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
94,KSC,Starlink,,,,,F9 B5B1058.3,,6 October 2020,11:29:34
95,CCSFS,Starlink,,,,,F9 B5B1051.6,,18 October 2020,12:25:57
96,CCSFS,Starlink,,,,,F9 B5,,24 October 2020,15:31:34
97,KSC,Crew-2,,,,,F9 B5,,5 November 2020,23:24:23
98,CCSFS,Starlink,,,,,F9 B5,,16 November 2020,00:27
99,KSC,Starlink,,,,,F9 B5,,21 November 2020,17:17:08
100,CCSFS,Starlink,,,,,F9 B5 ♺,,25 November 2020,02:13
101,KSC,Starlink,,,,,F9 B5 ♺,,6 December 2020,16:17:08
102,CCSFS,Starlink,,,,,F9 B5 ♺,,13 December 2020,17:30:00
103,KSC,SpaceX CRS-22,,,,,F9 B5 ♺,,19 December 2020,14:00:00
104,CCSFS,SXM-8,,,,,F9 B5,,8 January 2021,02:15
105,CCAFS,,,,,,F9 B5B1051.8,,20 January 2021,13:02
106,CCAFS,,,,,,F9 B5B1058.5,,24 January 2021,15:00
107,CCAFS,,,,,,F9 v1.0B0003.1,,4 February 2021,06:19
108,CCAFS,,,,,,F9 v1.0B0004.1,,16 February 2021,03:59:37
109,CCAFS,,,,,,F9 v1.0B0005.1,,4 March 2021,08:24
110,VAFB,,,,,,F9 v1.0B0006.1,,11 March 2021,08:13:29
111,CCAFS,,,,,,F9 v1.0B0007.1,,14 March 2021,10:01
112,CCAFS,,,,,,F9 v1.1B1003,,24 March 2021,08:28
113,Cape Canaveral,,,,,,F9 v1.1,,7 April 2021,16:34
114,Cape Canaveral,,,,,,F9 v1.1,,23 April 2021,9:49
115,Cape Canaveral,,,,,,F9 v1.1,,29 April 2021,03:44
116,Cape Canaveral,,,,,,F9 v1.1,,4 May 2021,19:01
117,Cape Canaveral,,,,,,F9 v1.1,,9 May 2021,06:42
118,Cape Canaveral,,,,,,F9 v1.1,,15 May 2021,22:56
119,Cape Canaveral,,,,,,F9 v1.1,,26 May 2021,18:59
120,Cape Canaveral,,,,,,F9 v1.1,,3 June 2021,17:29
121,Cape Canaveral,,,,,,F9 v1.1,,6 June 2021,04:26
1,Cape Canaveral,,,,,,F9 v1.1,,4 June 2010,18:45
2,Cape Canaveral,,,,,,F9 v1.1,,8 December 2010,15:43
3,Cape Canaveral,,,,,,F9 v1.1,,22 May 2012,07:44
4,VAFB,,,,,,F9 v1.1,,8 October 2012,00:35
5,Cape Canaveral,,,,,,F9 FT,,1 March 2013,15:10
6,Cape Canaveral,,,,,,F9 v1.1,,29 September 2013,16:00
7,Cape Canaveral,,,,,,F9 FT,,3 December 2013,22:41
8,Cape Canaveral,,,,,,F9 FT,,6 January 2014,22:06
9,Cape Canaveral,,,,,,F9 FT,,18 April 2014,19:25
10,Cape Canaveral,,,,,,F9 FT,,14 July 2014,15:15
11,Cape Canaveral,,,,,,F9 FT,,5 August 2014,08:00
12,VAFB,,,,,,F9 FT,,7 September 2014,05:00
13,KSC,,,,,,F9 FT,,21 September 2014,05:52
14,KSC,,,,,,F9 FT,,10 January 2015,09:47
15,KSC,,,,,,F9 FT,,11 February 2015,23:03
16,KSC,,,,,,F9 FT,,2 March 2015,03:50
17,KSC,,,,,,F9 FT♺,,14 April 2015,20:10
18,KSC,,,,,,F9 FT,,27 April 2015,23:03
19,KSC,,,,,,F9 FT,,28 June 2015,14:21
20,VAFB,,,,,,F9 FT,,22 December 2015,01:29
21,KSC,,,,,,F9 FTB1029.2,,17 January 2016,18:42
22,KSC,,,,,,F9 FT,,4 March 2016,23:35
23,VAFB,,,,,,F9 FT,,8 April 2016,20:43
24,KSC,,,,,,F9 B4,,6 May 2016,05:21
25,VAFB,,,,,,F9 FT,,27 May 2016,21:39
26,KSC,,,,,,F9 B4,,15 June 2016,14:29
27,KSC,,,,,,F9 B4,,18 July 2016,04:45
28,Cape Canaveral,,,,,,F9 FTB1031.2,,14 August 2016,05:26
29,VAFB,,,,,,F9 B4,,14 January 2017,17:54
30,CCAFS,,,,,,F9 FTB1035.2,,19 February 2017,14:39
31,CCAFS,,,,,,F9 FTB1036.2,,16 March 2017,06:00
32,VAFB,,,,,,F9 B4,,30 March 2017,22:27
